,last_four_difference,exp_win_difference,score_home,home_losses,spread_favorite,away_exp_win_pct,away_pt_diff_pg,weather_wind_mph,away_win_pct_last_4,h_ppg,a_ppg,home_exp_win_pct,home_pt_diff_pg,home_favorite,home_win_pct_last_4,over_under_line,total_ppg,total_points_against,weather_humidity,point_total,weather_temperature,schedule_season,a_papg,h_papg,per_game_difference,cluster
5453,0.25,0.32797764526215856,35,1,-3.0,0.6216414186462741,2.6,9.0,0.5,22.2,34.2,0.9496190639084326,9.4,1,0.75,46.5,56.400000000000006,44.400000000000006,81.0,69,65.0,2002,31.6,12.8,-12.000000000000004,3
5454,-0.75,-0.9224186973007293,28,5,-7.0,0.9747338430548458,18.0,0.0,0.75,14.8,40.5,0.052315145754116485,-10.2,0,0.0,49.0,55.3,47.5,66.552,41,72.0,2002,22.5,25.0,-25.7,1
5455,0.5,0.4068575347998361,17,1,-7.5,0.5836473830772019,1.4,7.0,0.5,25.2,24.8,0.990504917877038,14.6,1,1.0,36.5,50.0,34.0,82.0,20,79.0,2002,23.4,10.6,0.3999999999999986,3
5456,-0.75,-0.803448547911575,23,4,-1.5,0.8896501548989584,8.0,10.0,0.75,21.4,26.0,0.08620160698738331,-10.4,0,0.0,44.0,47.4,49.8,73.0,37,63.0,2002,18.0,31.8,-4.600000000000001,1
5457,-0.5,-0.4852271053876984,27,2,-1.5,0.7576714448729529,5.0,7.0,0.75,19.75,28.6,0.2724443394852545,-3.75,0,0.25,45.5,48.35,47.1,92.0,70,65.0,2002,23.6,23.5,-8.850000000000001,1
5458,-0.25,-0.4309524243861407,21,3,-3.0,0.8816981449702505,6.75,11.0,0.5,21.0,21.75,0.4507457205841098,-0.75,0,0.25,43.5,42.75,36.75,72.0,49,51.0,2002,15.0,21.75,-0.75,2
5459,0.0,0.5072076363216738,9,2,-3.5,0.16117200378256938,-5.332999999999999,5.0,0.5,19.8,14.67,0.6683796401042431,2.4,1,0.5,36.5,34.47,37.4,34.0,15,74.0,2002,20.0,17.4,5.130000000000001,2
5460,0.25,-0.10679798055698408,30,3,-4.0,0.8264818097136146,4.5,0.0,0.25,20.0,17.0,0.7196838291566305,3.2,1,0.5,35.5,37.0,29.3,66.552,30,72.0,2002,12.5,16.8,3.0,2
5461,0.0,-0.46455937315238516,17,3,-1.5,0.7720778891705191,4.6,4.0,0.5,17.4,23.6,0.30751851601813396,-2.8,0,0.5,38.0,41.0,39.2,74.0,27,56.0,2002,19.0,20.2,-6.200000000000003,2
5462,0.25,0.3921163767236334,34,4,-8.5,0.03255765758707628,-11.4,8.0,0.0,21.17,13.2,0.4246740343107097,-1.167,1,0.25,36.5,34.370000000000005,46.93,76.0,51,46.0,2002,24.6,22.33,7.970000000000002,0
